 
Id Producto  	Nombre Del producto 	 Id Del Camion 	 Zona De Destino 	  Km Recorridos 	  Tipo de Entrega 	 Costo de Envio 
  8,  Radio,  5,  quilmes, 79 , 1 , 8320 
  9,  Lavarropas,  4,  quilmes, 47 , 2 , 7325 
  15,  Televisor,  2,  quilmes, 90 , 0 , 9350 
  16,  Plancha,  1,  quilmes, 68 , 1 , 7220 
  18,  Licuadora,  5,  quilmes, 84 , 1 , 8820 
  19,  Radio,  7,  quilmes, 90 , 1 , 9420 
  20,  Radio,  3,  quilmes, 40 , 2 , 6275 
  31,  Radio,  3,  quilmes, 42 , 0 , 6650 
  35,  Lavarropas,  6,  quilmes, 98 , 0 , 10150 
  43,  Cocina,  7,  quilmes, 104 , 2 , 10675 
  49,  Pendrive,  4,  quilmes, 59 , 1 , 6320 
  67,  Cocina,  4,  quilmes, 96 , 2 , 9875 
  78,  Pendrive,  4,  quilmes, 102 , 2 , 10475 
  79,  Pendrive,  6,  quilmes, 59 , 1 , 6320 
  89,  Licuadora,  7,  quilmes, 37 , 1 , 5970 
  96,  Televisor,  2,  quilmes, 117 , 1 , 12120 
  98,  Pendrive,  2,  quilmes, 84 , 1 , 8820 
  107,  Pendrive,  3,  quilmes, 76 , 2 , 7875 
  108,  Pendrive,  6,  quilmes, 115 , 0 , 11850 
  110,  Plancha,  1,  quilmes, 106 , 2 , 10875 
  122,  Radio,  7,  quilmes, 55 , 0 , 5850 
  128,  Cocina,  7,  quilmes, 111 , 0 , 11450 
  139,  Televisor,  7,  quilmes, 117 , 0 , 12050 
  140,  Lavarropas,  6,  quilmes, 111 , 2 , 11375 
  142,  Pendrive,  2,  quilmes, 34 , 0 , 5450 
  147,  Televisor,  7,  quilmes, 113 , 1 , 11720 
  150,  Radio,  1,  quilmes, 92 , 1 , 9620 
  153,  Pendrive,  4,  quilmes, 73 , 2 , 7575 
  154,  Radio,  2,  quilmes, 11 , 1 , 2070 
  164,  Lavarropas,  1,  quilmes, 19 , 2 , 3125 
  167,  Radio,  3,  quilmes, 96 , 0 , 9950 
  171,  Televisor,  6,  quilmes, 38 , 2 , 5975 
  174,  Plancha,  3,  quilmes, 99 , 1 , 10320 
  175,  Cocina,  1,  quilmes, 87 , 2 , 8975 
  176,  Licuadora,  3,  quilmes, 61 , 0 , 6450 
  188,  Televisor,  5,  quilmes, 114 , 1 , 11820 
  189,  Licuadora,  5,  quilmes, 59 , 2 , 6175 
  191,  Cocina,  7,  quilmes, 75 , 0 , 7850 
  200,  Televisor,  1,  quilmes, 36 , 2 , 5675 
